geographic_diversity,activity_variety,temporal_logic,restaurant_coverage,narrative_coherence,duration_compliance,xai_coverage,weather_optimization,crowd_awareness,transport_coverage,core_avg,ai_avg,overall,mode,prefs
85.7,82.4,100.0,100.0,91.4,100.0,85.7,100.0,85.7,100.0,93.3,92.9,93.1,enhanced,"{""duration"": 7, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Couple"", ""tripType"": ""Beach""}"
80.0,78.6,100.0,100.0,90.0,100.0,80.0,100.0,80.0,100.0,91.4,90.0,90.8,enhanced,"{""duration"": 5, ""startLocation"": ""Kandy"", ""groupSize"": ""Solo"", ""tripType"": ""Cultural""}"
90.0,85.0,100.0,100.0,95.0,100.0,90.0,100.0,90.0,100.0,95.0,95.0,95.0,enhanced,"{""duration"": 10, ""startLocation"": ""Galle"", ""groupSize"": ""Family"", ""tripType"": ""Nature""}"
83.3,80.0,100.0,100.0,83.3,100.0,83.3,100.0,83.3,100.0,91.1,91.7,91.3,enhanced,"{""duration"": 3, ""startLocation"": ""Negombo"", ""groupSize"": ""Friends"", ""tripType"": ""Adventure""}"
85.7,81.3,100.0,100.0,85.7,100.0,85.7,100.0,85.7,100.0,92.1,92.9,92.5,enhanced,"{""duration"": 7, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Family"", ""tripType"": ""Cultural""}"
80.0,76.9,100.0,80.0,80.0,100.0,80.0,60.0,80.0,100.0,86.2,80.0,83.7,enhanced,"{""duration"": 5, ""startLocation"": ""Galle"", ""groupSize"": ""Couple"", ""tripType"": ""Foodie""}"
100.0,88.9,100.0,100.0,100.0,100.0,90.0,100.0,90.0,100.0,98.2,95.0,96.9,enhanced,"{""duration"": 10, ""startLocation"": ""Kandy"", ""groupSize"": ""Solo"", ""tripType"": ""Adventure""}"
100.0,90.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.5,100.0,99.1,enhanced,"{""duration"": 7, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Couple"", ""tripType"": ""Nature""}"
75.0,72.7,100.0,100.0,75.0,80.0,75.0,60.0,75.0,100.0,83.8,77.5,81.3,enhanced,"{""duration"": 3, ""startLocation"": ""Kandy"", ""groupSize"": ""Family"", ""tripType"": ""Beach""}"
88.0,84.6,100.0,100.0,92.0,100.0,88.0,100.0,88.0,100.0,94.1,94.0,94.1,enhanced,"{""duration"": 5, ""startLocation"": ""Negombo"", ""groupSize"": ""Solo"", ""tripType"": ""Foodie""}"
