Location_Name,Located_City,Location,Location_Type,Avg_Rating,AI_Context
Bavarian Barn Restaurant,Galle Face Court 02 Colombo,"NO. 11, GALLE FACE COURT 02 COLOMBO",Restaurants,,"Bavarian Barn Restaurant is a Restaurants located in Galle Face Court 02 Colombo. Address: NO. 11, GALLE FACE COURT 02 COLOMBO."
Lords Restaurant,80B Poruthota Road Etthukala Negombo,80B PORUTHOTA ROAD ETTHUKALA NEGOMBO,Restaurants,,Lords Restaurant is a Restaurants located in 80B Poruthota Road Etthukala Negombo. Address: 80B PORUTHOTA ROAD ETTHUKALA NEGOMBO.
Nihonbashi Restaurant,Colombo 03,"NO 11, GALLE FACE TERRACE, COLOMBO 03",Restaurants,,"Nihonbashi Restaurant is a Restaurants located in Colombo 03. Address: NO 11, GALLE FACE TERRACE, COLOMBO 03."
Free Wind Restaurant & Bar,Trinco Malee,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE",Restaurants,,"Free Wind Restaurant & Bar is a Restaurants located in Trinco Malee. Address: NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE."
Edwin Restaurant,Negombo,"204, LEWIS PLACE, NEGOMBO",Restaurants,,"Edwin Restaurant is a Restaurants located in Negombo. Address: 204, LEWIS PLACE, NEGOMBO."
Dakshina Restaurant,Kelaniya,"154/A, KANDY RD, DALUGAMA,KELANIYA",Restaurants,,"Dakshina Restaurant is a Restaurants located in Kelaniya. Address: 154/A, KANDY RD, DALUGAMA,KELANIYA."
Kumu Kuma Chinese Restaurant,Pannipitiya,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA",Restaurants,,"Kumu Kuma Chinese Restaurant is a Restaurants located in Pannipitiya. Address: 278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA."
Hansagiri Restaurant,Colombo 11,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11",Restaurants,,"Hansagiri Restaurant is a Restaurants located in Colombo 11. Address: 192 1/1, BODHIRAJA MAWATHA, COLOMBO 11."
Jayalath Inn Restaurant,Weligampitiya Ja-Ela,"269, WELIGAMPITIYA JA-ELA",Restaurants,,"Jayalath Inn Restaurant is a Restaurants located in Weligampitiya Ja-Ela. Address: 269, WELIGAMPITIYA JA-ELA."
Great Wall Restaurants,Edward Lane Colombo 03,"N0.03, EDWARD LANE COLOMBO 03",Restaurants,,"Great Wall Restaurants is a Restaurants located in Edward Lane Colombo 03. Address: N0.03, EDWARD LANE COLOMBO 03."
Excel Restaurants,Colombo 10,"338, T.B. JAYAH MAWATHA, COLOMBO 10",Restaurants,,"Excel Restaurants is a Restaurants located in Colombo 10. Address: 338, T.B. JAYAH MAWATHA, COLOMBO 10."
Pubs And Places- Kandy,Kandy,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY",Restaurants,,"Pubs And Places- Kandy is a Restaurants located in Kandy. Address: N0.30, GEORGE E.DE SILVA MAWATHA, KANDY."
Kandoori Restaurant (Beruwala),Hettimulla Beruwala,"428, GALLE ROAD, HETTIMULLA BERUWALA",Restaurants,,"Kandoori Restaurant (Beruwala) is a Restaurants located in Hettimulla Beruwala. Address: 428, GALLE ROAD, HETTIMULLA BERUWALA."
Senani Restaurant,Kandy,"NO 30,RAJAPIHILLA MAWATHA, KANDY",Restaurants,,"Senani Restaurant is a Restaurants located in Kandy. Address: NO 30,RAJAPIHILLA MAWATHA, KANDY."
Janahitha Restaurant,Makola,"107/1 MAKOLA SOUTH, MAKOLA",Restaurants,,"Janahitha Restaurant is a Restaurants located in Makola. Address: 107/1 MAKOLA SOUTH, MAKOLA."
Flag & Whistle Restaurant & Pub,Colombo 15.,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15.",Restaurants,,"Flag & Whistle Restaurant & Pub is a Restaurants located in Colombo 15.. Address: NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15.."
Chanval Restaurant (Maharagama),Maharagama.,"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.",Restaurants,,"Chanval Restaurant (Maharagama) is a Restaurants located in Maharagama.. Address: NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.."
Pubs And Places - Yatinuwara,Kandy,"60/1,YATINUWARA WEEDIYA,KANDY",Restaurants,,"Pubs And Places - Yatinuwara is a Restaurants located in Kandy. Address: 60/1,YATINUWARA WEEDIYA,KANDY."
Ishara Restaurant,Pannipitiya,"NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA",Restaurants,,"Ishara Restaurant is a Restaurants located in Pannipitiya. Address: NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA."
Sayura Restaurant,Dambulla,"BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA",Restaurants,,"Sayura Restaurant is a Restaurants located in Dambulla. Address: BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA."
Ranweli Restaurant,Matale,"NO.99, KAUDPELELLA, MATALE",Restaurants,,"Ranweli Restaurant is a Restaurants located in Matale. Address: NO.99, KAUDPELELLA, MATALE."
Silver Ray Restaurant,Lellopitiya,"NO 18,DIPPITIGALA, LELLOPITIYA",Restaurants,,"Silver Ray Restaurant is a Restaurants located in Lellopitiya. Address: NO 18,DIPPITIGALA, LELLOPITIYA."
Raja Bojun,Colombo 03.,"LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03.",Restaurants,,"Raja Bojun is a Restaurants located in Colombo 03.. Address: LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03.."
Mintage Restaurant & Bar,Colombo07,"NO154, KINYSEY ROAD, COLOMBO07",Restaurants,,"Mintage Restaurant & Bar is a Restaurants located in Colombo07. Address: NO154, KINYSEY ROAD, COLOMBO07."
Elephant Park Restaurant,Rambukkana,"PINNAWALA, RAMBUKKANA",Restaurants,,"Elephant Park Restaurant is a Restaurants located in Rambukkana. Address: PINNAWALA, RAMBUKKANA."
Pubs And Places (Bentota),Warahena Bentota,"NO.357,GALLE ROAD,WARAHENA BENTOTA",Restaurants,,"Pubs And Places (Bentota) is a Restaurants located in Warahena Bentota. Address: NO.357,GALLE ROAD,WARAHENA BENTOTA."
Refresh Restaurant,Galle Road Hikkaduwa,"NO.384, GALLE ROAD HIKKADUWA",Restaurants,,"Refresh Restaurant is a Restaurants located in Galle Road Hikkaduwa. Address: NO.384, GALLE ROAD HIKKADUWA."
Golden Grill,Bentota,"NO.45, NATIONAL HOLIDAY RESORT, BENTOTA",Restaurants,,"Golden Grill is a Restaurants located in Bentota. Address: NO.45, NATIONAL HOLIDAY RESORT, BENTOTA."
Samal Restaurant,Colombo 02,"NO.95,MALAY STREET, COLOMBO 02",Restaurants,,"Samal Restaurant is a Restaurants located in Colombo 02. Address: NO.95,MALAY STREET, COLOMBO 02."
Siam House Thai Restaurant,Melbourne Avenue Colombo 04,"NO.17, MELBOURNE AVENUE COLOMBO 04",Restaurants,,"Siam House Thai Restaurant is a Restaurants located in Melbourne Avenue Colombo 04. Address: NO.17, MELBOURNE AVENUE COLOMBO 04."
Ramanka Restaurant,Biyagama.,"156/3/F , NEW KANDY ROAD, BANDARAWATTA , BIYAGAMA.",Restaurants,,"Ramanka Restaurant is a Restaurants located in Biyagama.. Address: 156/3/F , NEW KANDY ROAD, BANDARAWATTA , BIYAGAMA.."
Pinnalanda Restaurant,Rambukkana,"PINNAWALA , RAMBUKKANA",Restaurants,,"Pinnalanda Restaurant is a Restaurants located in Rambukkana. Address: PINNAWALA , RAMBUKKANA."
Mount Grill,Galle Road Mount Lavinia,"221, GALLE ROAD MOUNT LAVINIA",Restaurants,,"Mount Grill is a Restaurants located in Galle Road Mount Lavinia. Address: 221, GALLE ROAD MOUNT LAVINIA."
Western Restaurant,Ponnalai Road Oddumadam Jaffna,"NO. 668, PONNALAI ROAD ODDUMADAM JAFFNA",Restaurants,,"Western Restaurant is a Restaurants located in Ponnalai Road Oddumadam Jaffna. Address: NO. 668, PONNALAI ROAD ODDUMADAM JAFFNA."
Havi Restaurant,Pannipitiya,"NO.186, BORELLA ROAD, PANNIPITIYA",Restaurants,,"Havi Restaurant is a Restaurants located in Pannipitiya. Address: NO.186, BORELLA ROAD, PANNIPITIYA."
Havi Restaurant,Battaramulla,"743/57, NEW KANDY ROAD THALAHENA, MALABE, BATTARAMULLA",Restaurants,,"Havi Restaurant is a Restaurants located in Battaramulla. Address: 743/57, NEW KANDY ROAD THALAHENA, MALABE, BATTARAMULLA."
Odel,No.02 Ward Place Colombo 07.,NO.02 WARD PLACE COLOMBO 07.,Restaurants,,Odel is a Restaurants located in No.02 Ward Place Colombo 07.. Address: NO.02 WARD PLACE COLOMBO 07..
Abbas Restaurant,Hikkaduwa,"WAULAGODA, HIKKADUWA",Restaurants,,"Abbas Restaurant is a Restaurants located in Hikkaduwa. Address: WAULAGODA, HIKKADUWA."
Aglo Restaurant,Kohalawaila Road Weliketiya Kelaniya,"NO.271, KOHALAWAILA ROAD WELIKETIYA KELANIYA",Restaurants,,"Aglo Restaurant is a Restaurants located in Kohalawaila Road Weliketiya Kelaniya. Address: NO.271, KOHALAWAILA ROAD WELIKETIYA KELANIYA."
The Bay Leaf,Colombo-01,"SHOP #5 OLD DUTCH HOSPITAL COMPLEX ECHELON SQUARE,COLOMBO-01",Restaurants,,"The Bay Leaf is a Restaurants located in Colombo-01. Address: SHOP #5 OLD DUTCH HOSPITAL COMPLEX ECHELON SQUARE,COLOMBO-01."
Heladiv Tea Club ( Htc ),Pettah Colombo 01,"NO.08, DUTCH HOSPITAL BUILDING BANK OF CEYLON MW, PETTAH COLOMBO 01",Restaurants,,"Heladiv Tea Club ( Htc ) is a Restaurants located in Pettah Colombo 01. Address: NO.08, DUTCH HOSPITAL BUILDING BANK OF CEYLON MW, PETTAH COLOMBO 01."
Apex Restaurant,Colombo 08,"1173, MARADANA ROAD, COLOMBO 08",Restaurants,,"Apex Restaurant is a Restaurants located in Colombo 08. Address: 1173, MARADANA ROAD, COLOMBO 08."
Austasia Sports,Thalawathugoda,"NO.290U, WEERASEKERA MAWATHA, THALAWATHUGODA",Restaurants,,"Austasia Sports is a Restaurants located in Thalawathugoda. Address: NO.290U, WEERASEKERA MAWATHA, THALAWATHUGODA."
Inn By The Lake,Kandy,"N0.36, DALADA VEEDIYA, KANDY",Restaurants,,"Inn By The Lake is a Restaurants located in Kandy. Address: N0.36, DALADA VEEDIYA, KANDY."
Bakeland Restaurant,Kuliyapitiya,"335, DANDAGAMUWA , KULIYAPITIYA",Restaurants,,"Bakeland Restaurant is a Restaurants located in Kuliyapitiya. Address: 335, DANDAGAMUWA , KULIYAPITIYA."
Bakeps Restaurant,Narahenpita Road Nawala,"NO.69 , NARAHENPITA ROAD NAWALA",Restaurants,,"Bakeps Restaurant is a Restaurants located in Narahenpita Road Nawala. Address: NO.69 , NARAHENPITA ROAD NAWALA."
Steam Boat (Nawala),Nawala,"NO.14, NARAHENPITA ROAD, NAWALA",Restaurants,,"Steam Boat (Nawala) is a Restaurants located in Nawala. Address: NO.14, NARAHENPITA ROAD, NAWALA."
Bamboo Garden Restaurant,Kandy,"NO.29A , ANAGARIKA DHARMAPALA MAWATHA , KANDY",Restaurants,,"Bamboo Garden Restaurant is a Restaurants located in Kandy. Address: NO.29A , ANAGARIKA DHARMAPALA MAWATHA , KANDY."
Barefoot Garden Cafe,Colombo 03,"NO.706. GALLE ROAD , COLOMBO 03",Restaurants,,"Barefoot Garden Cafe is a Restaurants located in Colombo 03. Address: NO.706. GALLE ROAD , COLOMBO 03."
Base Entertainment,Galle Road Colombo 03,"NO. 340 , GALLE ROAD COLOMBO 03",Restaurants,,"Base Entertainment is a Restaurants located in Galle Road Colombo 03. Address: NO. 340 , GALLE ROAD COLOMBO 03."
Base Vip Lounge,Colombo 03,"NO. 24, 17TH LANE , COLOMBO 03",Restaurants,,"Base Vip Lounge is a Restaurants located in Colombo 03. Address: NO. 24, 17TH LANE , COLOMBO 03."
Bellway Restaurant,Kelaniya,"NO. 695 , KANDY ROAD, KELANIYA",Restaurants,,"Bellway Restaurant is a Restaurants located in Kelaniya. Address: NO. 695 , KANDY ROAD, KELANIYA."
Sunlight Garden Seafood Restaurant,Abdul Gafoor Mawatha Colombo 03,"NO. 21 , ABDUL GAFOOR MAWATHA COLOMBO 03",Restaurants,,"Sunlight Garden Seafood Restaurant is a Restaurants located in Abdul Gafoor Mawatha Colombo 03. Address: NO. 21 , ABDUL GAFOOR MAWATHA COLOMBO 03."
Mother'S Kitchen,Kandy,"NO.284, KATUGASTOTA RD, KANDY",Restaurants,,"Mother'S Kitchen is a Restaurants located in Kandy. Address: NO.284, KATUGASTOTA RD, KANDY."
Roshan Restaurant,Chunnakam,"NO.138, SIR P. RAMANATHAN RD, CHUNNAKAM",Restaurants,,"Roshan Restaurant is a Restaurants located in Chunnakam. Address: NO.138, SIR P. RAMANATHAN RD, CHUNNAKAM."
Bijou Restaurant,Negombo,"NO.44, ETTUKALA, NEGOMBO",Restaurants,,"Bijou Restaurant is a Restaurants located in Negombo. Address: NO.44, ETTUKALA, NEGOMBO."
Buddes Beach Restaurant,Galle Road Wewala Hikkaduwa,"NO.428, GALLE ROAD WEWALA HIKKADUWA",Restaurants,,"Buddes Beach Restaurant is a Restaurants located in Galle Road Wewala Hikkaduwa. Address: NO.428, GALLE ROAD WEWALA HIKKADUWA."
Casamara Chinese Restaurant,Kottawa Pannipitiya,"NO.87, HIGHLEVAL RD, KOTTAWA PANNIPITIYA",Restaurants,,"Casamara Chinese Restaurant is a Restaurants located in Kottawa Pannipitiya. Address: NO.87, HIGHLEVAL RD, KOTTAWA PANNIPITIYA."
Blue Sky Restaurant,Kaduwela.,"NO.168,NEW KANDY ROAD,KOTHALAWALA,KADUWELA.",Restaurants,,"Blue Sky Restaurant is a Restaurants located in Kaduwela.. Address: NO.168,NEW KANDY ROAD,KOTHALAWALA,KADUWELA.."
Chesa Swiss Restaurent,Colombo 03,"NO.03, DEAL PLACE A , COLOMBO 03",Restaurants,,"Chesa Swiss Restaurent is a Restaurants located in Colombo 03. Address: NO.03, DEAL PLACE A , COLOMBO 03."
Clover Grange,Matale 21000,"NO. 95, KING STREET, MATALE 21000",Restaurants,,"Clover Grange is a Restaurants located in Matale 21000. Address: NO. 95, KING STREET, MATALE 21000."
Sri Land Trading Restaurant,Rikillagaskada,"NO. 16, RAGALA RD, RIKILLAGASKADA",Restaurants,,"Sri Land Trading Restaurant is a Restaurants located in Rikillagaskada. Address: NO. 16, RAGALA RD, RIKILLAGASKADA."
Chopsticks Restaurant,Nawala,"NO.317/1, NAWALA RD, NAWALA",Restaurants,,"Chopsticks Restaurant is a Restaurants located in Nawala. Address: NO.317/1, NAWALA RD, NAWALA."
D.S.C. Restaurant,Avissawella,"NO. 206, HIGH LEVEL ROAD, AVISSAWELLA",Restaurants,,"D.S.C. Restaurant is a Restaurants located in Avissawella. Address: NO. 206, HIGH LEVEL ROAD, AVISSAWELLA."
Country Club Restaurant,Moratuwa,"NO 08, BANDARANAYAKE MW, KATUBEDDA, MORATUWA",Restaurants,,"Country Club Restaurant is a Restaurants located in Moratuwa. Address: NO 08, BANDARANAYAKE MW, KATUBEDDA, MORATUWA."
Cristal Hill Restaurant,Matale.,"NO.231,DAMBULLA ROAD,KIRIGALPOTHTHA,PALAPATHWALA,MATALE.",Restaurants,,"Cristal Hill Restaurant is a Restaurants located in Matale.. Address: NO.231,DAMBULLA ROAD,KIRIGALPOTHTHA,PALAPATHWALA,MATALE.."
Daniels Pub & Restaurant,Ahungalla,"NO.46, GALLE RD, AHUNGALLA",Restaurants,,"Daniels Pub & Restaurant is a Restaurants located in Ahungalla. Address: NO.46, GALLE RD, AHUNGALLA."
Lemon Grass - (Kotte),Etule Kotte,"NO. 0939 E.W PERERA MAWATHA, KOTTE ROAD,ETULE KOTTE",Restaurants,,"Lemon Grass - (Kotte) is a Restaurants located in Etule Kotte. Address: NO. 0939 E.W PERERA MAWATHA, KOTTE ROAD,ETULE KOTTE."
Tastees Banana,Negombo,"39B PORUTHOTA ROAD, ETHTHUKALA, NEGOMBO",Restaurants,,"Tastees Banana is a Restaurants located in Negombo. Address: 39B PORUTHOTA ROAD, ETHTHUKALA, NEGOMBO."
Panorama Restaurant (Beruwala),Beruwala.,"MARADANA ROAD, MORAGALLA, BERUWALA.",Restaurants,,"Panorama Restaurant (Beruwala) is a Restaurants located in Beruwala.. Address: MARADANA ROAD, MORAGALLA, BERUWALA.."
168 Seafood Palace,Colombo 03,"NO. 08, SEAVIEW AVENUE, COLOMBO 03",Restaurants,,"168 Seafood Palace is a Restaurants located in Colombo 03. Address: NO. 08, SEAVIEW AVENUE, COLOMBO 03."
Aida Restaurant & Bar,Bentota,"NO. 192, GALLE ROAD, BENTOTA",Restaurants,,"Aida Restaurant & Bar is a Restaurants located in Bentota. Address: NO. 192, GALLE ROAD, BENTOTA."
Ginza Hohsen Japanese Restaurant,Hilton Colombo.,"GINZA HOHSEN JAPANESE RESTAURANT,HILTON COLOMBO.",Restaurants,,"Ginza Hohsen Japanese Restaurant is a Restaurants located in Hilton Colombo.. Address: GINZA HOHSEN JAPANESE RESTAURANT,HILTON COLOMBO.."
Amal Villa Restaurant,Bentota,"ROBOLGODA, BENTOTA",Restaurants,,"Amal Villa Restaurant is a Restaurants located in Bentota. Address: ROBOLGODA, BENTOTA."
Kassapas Dream,Kandy,"KASSAPAS DREAM,7/2,SANGAMITTA MAWATHA,KANDY",Restaurants,,"Kassapas Dream is a Restaurants located in Kandy. Address: KASSAPAS DREAM,7/2,SANGAMITTA MAWATHA,KANDY."
Alt Saabrucken German Restaurant,Negombo,"PORUTOTA ROAD, ETTUKALA, NEGOMBO",Restaurants,,"Alt Saabrucken German Restaurant is a Restaurants located in Negombo. Address: PORUTOTA ROAD, ETTUKALA, NEGOMBO."
Amrith Indian Restaurant,Colombo 05,"NO. 147, VAJIRA ROAD, COLOMBO 05",Restaurants,,"Amrith Indian Restaurant is a Restaurants located in Colombo 05. Address: NO. 147, VAJIRA ROAD, COLOMBO 05."
